CODI_ENS;TIPUS_ENS;NOM;CARREC;AREA;PARTIT_POLITIC;MUNICIPI_REPRESENTA;ORDRE;DATA_NOMENAMENT
800440003;Municipis;SARA CARABALLO OLLER ;Regidor/a;;JxCAT-JUNTS;;7;15/6/2019
800570005;Municipis;JOSEP MORET TANYÀ;Alcalde/ssa;Participació Ciutadana, Recursos Humans, Governació, Seguretat Ciutadana i Protecció Civil;ERC-AM;;1;15/6/2019
800570005;Municipis;PERE MARIEGES CASTELLS;Tinent/a d'Alcalde;Urbanisme i Obra Pública, Mobilitat i Transport;A'T;;2;15/6/2019
800570005;Municipis;JAUME DURALL LOBETE;Tinent/a d'Alcalde;Acció Social, Sanitat i Igualtat;LECP-ECG;;3;15/6/2019
800570005;Municipis;MIREIA MORILLAS I RAMOS;Tinent/a d'Alcalde;Medi Ambient, Comerç, Consum, Promoció Econòmica i Turisme;ERC-AM;;4;15/6/2019
800570005;Municipis;JAN SANTALÓ LLORET;Tinent/a d'Alcalde;Hisenda, Noves Tecnologies i Transparència;A'T;;5;15/6/2019
800570005;Municipis;RAQUEL MARIA GARCIA I LUQUE;Regidor/a;Barris, Gent Gran i Festes;ERC-AM;;6;15/6/2019
800570005;Municipis;GUSTAU SAETA I MENOR;Regidor/a;Joventut, Educació i Esports;ERC-AM;;7;15/6/2019
800570005;Municipis;BETI ESPAÑOL CASTELLS;Regidor/a;Comunicació, Cultura i Cooperació;A'T;;8;15/6/2019
800570005;Municipis;ANDREU GONZÁLEZ I GIL;Regidor/a;;JUNTS;;9;15/6/2019
800570005;Municipis;DOLORS FERRER I ORRI;Regidor/a;;JUNTS;;10;15/6/2019
800570005;Municipis;MARIA TERESA BADA I FRANQUET;Regidor/a;;JUNTS;;11;15/6/2019
800570005;Municipis;MARIA DEL ROSER AMETLLER I SÁNCHEZ;Regidor/a;;JUNTS;;12;15/6/2019
800570005;Municipis;BALDOMERO REYES DELGADO;Regidor/a;;PSC-CP;;13;15/6/2019
800600000;Municipis;ANNABEL MORENO NOGUÉ;Alcalde/ssa;Urbanisme, Recursos Humans, Habitatge i Seguretat Ciutadana;ERC-AM;;1;15/6/2019
800600000;Municipis;JOSEP ANTONI LÓPEZ NAVARRO;Tinent/a d'Alcalde;Acció Social, Salut Pública i Consum;AeC;;2;15/6/2019
800600000;Municipis;LAIA MARTIN I ROMANO;Tinent/a d'Alcalde;Hisenda, Participació, Comunicació i Drets Civils;ERC-AM;;3;15/6/2019
800600000;Municipis;ONA CURTO GRAUPERA;Tinent/a d'Alcalde;Medi Ambient, Obres i Serveis, Patrimoni i Turisme;CUP-AMUNT;;4;15/6/2019
800600000;Municipis;JOAQUIM MAS I FERRÉ;Tinent/a d'Alcalde;Promoció Econòmica, Port, Comerç i Ocupació;ERC-AM;;5;15/6/2019
800600000;Municipis;MÒNICA DANÉS I ROCA ;Tinent/a d'Alcalde;Esports i Gent Gran;ERC-AM;;6;15/6/2019
800600000;Municipis;MIRIAM PUIG I COMÍ;Regidor/a;Infància, Joventut i Festes;ERC-AM;;7;15/6/2019
800600000;Municipis;JOSEP MARÍA PRUNA I CAÑADAS ;Regidor/a;Cultura i Fires;ERC-AM;;8;15/6/2019
800600000;Municipis;MARTA PRADES FERRÉ ;Regidor/a;Educació i Organització Administrativa;CUP-AMUNT;;9;15/6/2019
800600000;Municipis;ESTANIS FORS GARCIA;Regidor/a;;JXA-JXCAT-JUNTS;;10;15/6/2019
800600000;Municipis;VIVIANA PEREZ CLAUSEN;Regidor/a;;JXA-JXCAT-JUNTS;;11;15/6/2019
800600000;Municipis;MARTA SERRANO HERRAIZ;Regidor/a;;JXA-JXCAT-JUNTS;;12;15/6/2019
800600000;Municipis;XAVIER MARTINEZ MUNNE;Regidor/a;;JXA-JXCAT-JUNTS;;13;15/6/2019
800600000;Municipis;DOMÈNEC MASSUET I TORRENT;Regidor/a;;JXA-JXCAT-JUNTS;;14;15/6/2019
800600000;Municipis;JAVIER NAVARRO GARCIA;Regidor/a;;JXA-JXCAT-JUNTS;;15;15/6/2019
800600000;Municipis;JORDI MUÑIZ PALMERO;Regidor/a;;PSC-CP;;16;15/6/2019
800600000;Municipis;VICTOR CAMON LUIS;Regidor/a;;PSC-CP;;17;15/6/2019
800760009;Municipis;JOSEP SÁNCHEZ CAMPS;Alcalde/ssa;Alcaldia;ERC/AM;;1;15/6/2019
800760009;Municipis;ÀNGEL CASTILLO I VALLCORBA;Tinent/a d'Alcalde;Seguretat, Espai Públic, Joventut i Festes;ERC-AM;;2;15/6/2019
